Student_id,College,Department,Class,Grade,Name,Email,Password,gender,Credit
E0559343,工程與科學學院,機電系,丙,二,沈送御,CgCqZARtPD@yahoo.com.tw,0,女,0
D0420756,工程與科學學院,工工系,乙,二,溫穆愆,dz0N@o365.fcu.edu.tw,0,男,0
E0301085,商學院,企管系,乙,四,徐勇迢,T7zl7etl@o365.fcu.edu.tw,0,女,0
E0810819,建設學院,運輸物流系,甲,二,方淇膿,CAOoZX4S@o365.fcu.edu.tw,0,男,0
D0375710,工程與科學學院,環工系,甲,二,曹滴崑,W983@yahoo.com.tw,0,男,0
D0536013,建設學院,土木系,丁,二,游又惹,CvtWWRfnJl@mail.fcu.edu.tw,0,女,0
D0612117,商學院,商學學士學位學程,丁,二,許腮痛,diqWzTnB@o365.fcu.edu.tw,0,男,0
D0698643,工程與科學學院,光電系,乙,四,余綁粵,zhEJyG7um@gmail.com,0,男,0
M0376671,商學院,統計系,丁,二,薛餓澳,Xj2Ac@o365.fcu.edu.tw,0,女,0
D0577087,工程與科學學院,光電系,甲,四,袁貶慚,Af5Nxb94@gmail.com,0,男,0
D0690372,工程與科學學院,光電系,丙,三,黎妄闢,kSoW@mail.fcu.edu.tw,0,男,0
E0659514,資電學院,電機系,丙,二,楊澠頫,Y1rwAyhK@o365.fcu.edu.tw,0,女,0
E0697076,建設學院,都資系,甲,四,曹巾廉,U7HSPWbXs5@gmail.com,0,女,0
D0433979,工程與科學學院,材料系,乙,一,謝德掣,cjUj@mail.fcu.edu.tw,0,男,0
M0354484,商學院,統計系,丙,三,馬呷籌,EdJwPpDwIb@gmail.com,0,男,0
E0786271,工程與科學學院,應數系,乙,二,呂誤雍,moefnk@gmail.com,0,女,0
E0434085,資電學院,電子系,丙,一,侯釁得,NBVWrq@mail.fcu.edu.tw,0,女,0
E0866061,商學院,合經系,乙,二,潘柏糝,b5YUcL1IBE@o365.fcu.edu.tw,0,男,0
M0467645,工程與科學學院,纖複系,甲,一,石疼焊,mBb7J@gmail.com,0,女,0
D0538919,工程與科學學院,環工系,丙,二,石卵皋,qX3WYN@gmail.com,0,男,0
E0300661,商學院,國貿系全英班,乙,四,唐惰幟,Ackn@o365.fcu.edu.tw,0,女,0
E0538059,商學院,合經系,丁,一,張遷閭,RP5GXZZ@o365.fcu.edu.tw,0,女,0
E0415313,資電學院,自控系,丙,三,謝徒嵇,9ennV@yahoo.com.tw,0,女,0
D0478150,工程與科學學院,纖複系,乙,三,王咎庭,wW07A@o365.fcu.edu.tw,0,男,0
E0538772,工程與科學學院,機電系,丙,二,廖政軼,4hCG5iZKRr@o365.fcu.edu.tw,0,女,0
M0899442,資電學院,通訊系,乙,二,曹湎痠,MPULkW@yahoo.com.tw,0,男,0
D0716473,商學院,經濟系,丁,四,許籮泉,6MxXqXjJxS@mail.fcu.edu.tw,0,男,0
D0809946,商學院,國貿系,甲,三,沈燸臨,zMgNtw@mail.fcu.edu.tw,0,女,0
M0418920,工程與科學學院,航太系,乙,二,湯亭罄,i3Wl@gmail.com,0,男,0
M0317619,商學院,統計系,丁,一,阮簇寮,ZwMtCp47@yahoo.com.tw,0,男,0
M0589754,工程與科學學院,環工系,丁,二,邱慵琦,gWF4kt5l@o365.fcu.edu.tw,0,男,0
D0823550,工程與科學學院,光電系,丙,一,沈粵甸,52OFU@mail.fcu.edu.tw,0,男,0
E0707416,工程與科學學院,纖複系,乙,四,袁儼訴,otypxK@gmail.com,0,女,0
M0781619,建設學院,土木系,丁,一,許泣冬,pJhtlh@yahoo.com.tw,0,女,0
E0488463,商學院,國貿系,乙,四,蕭涊瀰,7p2m@yahoo.com.tw,0,男,0
E0639711,資電學院,資電系,丁,四,曹淌貢,zFC0lCWD@gmail.com,0,男,0
E0798145,資電學院,通訊系,甲,一,古鵪線,Li4qiOzk@o365.fcu.edu.tw,0,女,0
D0790323,工程與科學學院,機電系,甲,二,董哎叢,XFpsmkkjm@mail.fcu.edu.tw,0,女,0
