Student_id,College,Department,Class,Grade,Name,Email,Password,gender,Credit
D0379980,商學院,會計學系,乙,四,范姜杳破,839rOCRD@gmail.com,0,男,0
M0719527,商學院,國際經營與貿易學系,丁,二,金灼遭,5KFdrWoDn@gmail.com,0,男,0
E0476877,商學院,統計學系,丙,四,歐巒掣,s9UpZEf8r@o365.fcu.edu.tw,0,男,0
M0729201,資電學院,資訊電機學院學士班,甲,四,馮褂柄,oKi0@mail.fcu.edu.tw,0,女,0
E0642013,建設學院,水利工程與資源保育學系,丁,二,藍仞愉,ldfDIj05o2@yahoo.com.tw,0,男,0
E0669605,工程與科學學院,應用數學系,乙,三,董甦逝,UKntBjvYbn@yahoo.com.tw,0,女,0
D0536315,商學院,國際經營與貿易學系國際企業管理全英語學士班,丁,二,陳刀逮,RCBH2@yahoo.com.tw,0,女,0
E0470387,商學院,會計學系,丁,四,蕭崔跆,9DWh@o365.fcu.edu.tw,0,女,0
D0570358,資電學院,通訊工程學系,丙,三,莊蛉淡,uprq@o365.fcu.edu.tw,0,男,0
M0356954,資電學院,資訊工程學系,丁,四,歐咄這,f3ObgwcDH@yahoo.com.tw,0,女,0
E0451353,商學院,行銷學系,丁,二,翁睪頊,nWebhJ@yahoo.com.tw,0,男,0
D0668872,商學院,商學學士學位學程,乙,一,盧運璣,wjWzXrBMv@gmail.com,0,女,0
M0505420,商學院,統計學系,甲,一,余夏汰,Y0su@gmail.com,0,男,0
E0773200,工程與科學學院,光電科學與工程學系,丙,三,馮頡矣,we4D@o365.fcu.edu.tw,0,女,0
M0418752,工程與科學學院,航太與系統工程學系,乙,四,劉負饅,7F6wm@o365.fcu.edu.tw,0,男,0
E0604462,資電學院,通訊工程學系,甲,三,杜臀榮,mioY@mail.fcu.edu.tw,0,女,0
E0428110,工程與科學學院,材料科學與工程學系,甲,三,魏禿巔,0z0OX@mail.fcu.edu.tw,0,女,0
E0752533,工程與科學學院,應用數學系,甲,二,田趁柱,vk00qr6yEx@yahoo.com.tw,0,女,0
M0885950,工程與科學學院,纖維與複合材料學系,丙,二,趙腫鵪,yMfCS@mail.fcu.edu.tw,0,女,0
E0613165,資電學院,通訊工程學系,丁,三,藍奉柳,VrLW@o365.fcu.edu.tw,0,女,0
D0724213,商學院,企業管理學系,乙,三,鄒冰沘,E433s2@yahoo.com.tw,0,男,0
M0493433,商學院,國際經營與貿易學系國際企業管理全英語學士班,丁,二,鄒腐訪,4ClCMTq1@gmail.com,0,女,0
E0891326,商學院,經濟學系,丙,三,康鯊庵,vMsA@yahoo.com.tw,0,男,0
E0482507,建設學院,運輸與物流學系,丙,一,徐爹蚪,Ute5dD9@gmail.com,0,女,0
D0730127,建設學院,土地管理學系,甲,二,韓并信,rTDOdO8U@mail.fcu.edu.tw,0,女,0
E0465192,工程與科學學院,工業工程與系統管理學系,甲,四,李繼隧,IMSy@yahoo.com.tw,0,女,0
M0809682,商學院,企業管理學系,丁,三,方針張,DtJ5@gmail.com,0,男,0
E0502262,工程與科學學院,化學工程學系,甲,一,韓淦齦,G4qPU@gmail.com,0,女,0
M0477153,商學院,商學學士學位學程,丙,三,宋磐淺,vLRSt0p@mail.fcu.edu.tw,0,男,0
D0349829,工程與科學學院,材料科學與工程學系,丁,二,康嘻磐,hknNB@mail.fcu.edu.tw,0,男,0
D0683391,商學院,行銷學系,丙,四,詹疸肘,26iDp@mail.fcu.edu.tw,0,男,0
M0595131,商學院,統計學系,丙,一,王几寸,09kV@yahoo.com.tw,0,女,0
E0432280,工程與科學學院,航太與系統工程學系,丁,四,張寵婊,zkLuNvA@gmail.com,0,女,0
E0465974,工程與科學學院,機械與電腦輔助工程學系,丁,二,鐘聞媧,FZ9cpKe@o365.fcu.edu.tw,0,男,0
E0650583,商學院,會計學系,甲,四,石峴砸,GHiS@gmail.com,0,男,0
M0859875,資電學院,電子工程學系,丁,一,郭鸚嚶,sOYskEbq@mail.fcu.edu.tw,0,女,0
E0873780,資電學院,通訊工程學系,乙,三,姚辜積,BJorzoH1c@yahoo.com.tw,0,女,0
D0664806,資電學院,資訊電機學院學士班,丙,三,鄧愕鰭,o5CqCXhOz@yahoo.com.tw,0,男,0
D0566088,工程與科學學院,精密系統設計學士學位學程,丙,一,姚刁出,LrnM@mail.fcu.edu.tw,0,女,0
E0445890,工程與科學學院,精密系統設計學士學位學程,丁,四,龔繃睏,xwyKP@yahoo.com.tw,0,女,0
D0491736,資電學院,電機工程學系,乙,四,余損遑,K2Rh@yahoo.com.tw,0,女,0
D0830985,工程與科學學院,工業工程與系統管理學系,丁,一,陸絹誣,o4LCO@o365.fcu.edu.tw,0,女,0
M0691383,資電學院,電子工程學系,丁,一,莊罵壢,uDAuA0@gmail.com,0,女,0
D0691171,建設學院,都市計畫與空間資訊學系,丙,二,陸磚瑾,FYXZEMIJEO@mail.fcu.edu.tw,0,女,0
D0878840,工程與科學學院,光電科學與工程學系,乙,二,彭誤讜,9D1FeCI@yahoo.com.tw,0,男,0
E0477797,建設學院,水利工程與資源保育學系,丁,四,龔慌俊,6b1F2@o365.fcu.edu.tw,0,男,0
E0835881,資電學院,電子工程學系,丙,一,李養袂,EOTc@gmail.com,0,女,0
M0446015,資電學院,電子工程學系,丁,三,金俠擾,AdpI@mail.fcu.edu.tw,0,女,0
M0729297,工程與科學學院,環境工程與科學學系,丙,一,林靖膾,FPUc664Yi@gmail.com,0,男,0
M0396460,商學院,財稅學系,甲,三,胡頸韉,Usqxb@mail.fcu.edu.tw,0,女,0
E0643861,資電學院,電機工程學系,丙,二,嚴姒令,DXWGcY@o365.fcu.edu.tw,0,男,0
E0641245,商學院,會計學系,丁,四,黎咪苧,bGl6dbi@yahoo.com.tw,0,女,0
D0782107,資電學院,資訊工程學系,丙,三,高簡愧俠,sIbw@mail.fcu.edu.tw,0,女,0
E0780009,工程與科學學院,航太與系統工程學系,甲,二,馮滴攔,xh21NCn4m@yahoo.com.tw,0,男,0
M0371449,商學院,國際經營與貿易學系國際企業管理全英語學士班,丙,一,柯惋烹,Gmqd@mail.fcu.edu.tw,0,女,0
E0319139,工程與科學學院,精密系統設計學士學位學程,丙,一,楊拯復,TUBAq9@yahoo.com.tw,0,女,0
M0392507,工程與科學學院,精密系統設計學士學位學程,丁,四,江翟呎,JTspBj5@mail.fcu.edu.tw,0,女,0
M0328266,商學院,統計學系,丁,二,吳燕頻,rMAD@mail.fcu.edu.tw,0,女,0
E0840583,資電學院,電機工程學系,丁,四,郭靜四,2lHoT63E6U@mail.fcu.edu.tw,0,女,0
M0746192,工程與科學學院,航太與系統工程學系,丁,三,童沱嘰,MgFFJuXn1j@yahoo.com.tw,0,女,0
D0518181,工程與科學學院,化學工程學系,乙,四,白袂穀,P0MP@yahoo.com.tw,0,女,0
D0480658,商學院,會計學系,甲,四,許真燕,qY5Ex11sop@mail.fcu.edu.tw,0,男,0
E0547398,商學院,國際經營與貿易學系,丁,一,盧濃騾,rfyG5@mail.fcu.edu.tw,0,男,0
D0308467,工程與科學學院,機械與電腦輔助工程學系,丙,四,顏癬鉑,ci4D@yahoo.com.tw,0,男,0
D0722494,工程與科學學院,環境工程與科學學系,乙,三,古饞杲,ZilKs@yahoo.com.tw,0,女,0
D0495282,商學院,合作經濟暨社會事業經營學系,乙,一,姚簍韆,LfHAjGWpT@o365.fcu.edu.tw,0,男,0
D0781984,建設學院,都市計畫與空間資訊學系,乙,一,歐吞季,HmGn4U@yahoo.com.tw,0,男,0
M0327767,資電學院,電子工程學系,丁,三,歐陽凡叛,qnohr@yahoo.com.tw,0,女,0
E0815208,工程與科學學院,纖維與複合材料學系,甲,三,陳茆焜,O39DD5rIB@yahoo.com.tw,0,女,0
E0483801,商學院,商學學士學位學程,丁,一,胡鰥淘,TpWqOy@o365.fcu.edu.tw,0,女,0
D0417447,商學院,行銷學系,甲,三,羅屘駱,MvsgR@yahoo.com.tw,0,女,0
E0861994,工程與科學學院,材料科學與工程學系,乙,二,趙匡夙,tOTSkIDFt8@o365.fcu.edu.tw,0,男,0
E0469897,商學院,行銷學系,乙,二,鐘筠告,CThAlPkg@mail.fcu.edu.tw,0,女,0
E0610299,商學院,行銷學系,丙,二,羅糯膂,ZgXqcn@o365.fcu.edu.tw,0,男,0
M0344295,資電學院,自動控制工程學系,丁,四,魏熹壤,m5LT@mail.fcu.edu.tw,0,女,0
E0324520,工程與科學學院,工業工程與系統管理學系,丁,三,蘇窟濁,ZUSe@mail.fcu.edu.tw,0,男,0
E0681017,工程與科學學院,航太與系統工程學系,丙,一,藍漾乞,nU4pNph@mail.fcu.edu.tw,0,男,0
M0426305,建設學院,都市計畫與空間資訊學系,乙,四,郭千叫,En9elcCWPt@mail.fcu.edu.tw,0,女,0
E0651260,工程與科學學院,光電科學與工程學系,丙,二,尤豹盎,0rFfnUqO@o365.fcu.edu.tw,0,男,0
D0477764,商學院,財稅學系,丁,二,蕭鯧娣,k1h17Jmvq@mail.fcu.edu.tw,0,男,0
E0328790,資電學院,電機工程學系,丙,三,廖妯柩,JFuWR@mail.fcu.edu.tw,0,女,0
E0392293,建設學院,土地管理學系,丙,二,丁琉處,EWlU@gmail.com,0,男,0
D0886607,商學院,統計學系,丁,一,蕭暇蚱,Xmw0wh1Mo@mail.fcu.edu.tw,0,女,0
E0581072,商學院,國際經營與貿易學系國際企業管理全英語學士班,丁,二,蕭靜鴕,Ypw83Yt@yahoo.com.tw,0,女,0
E0738180,資電學院,資訊電機學院學士班,丁,四,連冷巢,24ZW@o365.fcu.edu.tw,0,女,0
M0470625,商學院,經濟學系,甲,一,康獻瘢,uWX7@yahoo.com.tw,0,男,0
E0678484,工程與科學學院,精密系統設計學士學位學程,丁,三,歐陽窟枚,iTqovxK@gmail.com,0,男,0
D0379714,工程與科學學院,環境工程與科學學系,丙,四,羅鯈鈴,oiUdR@mail.fcu.edu.tw,0,男,0
M0397561,工程與科學學院,應用數學系,乙,一,唐鐫涿,dBfpgjZ5@yahoo.com.tw,0,男,0
D0436939,資電學院,資訊工程學系,乙,三,湯嘿汶,NW2Su@o365.fcu.edu.tw,0,女,0
D0533512,資電學院,通訊工程學系,甲,四,施跋耶,FdW60z9J@yahoo.com.tw,0,女,0
