Teacher_id,Name,Password,College,Department,Class,Status
T0866,洪擴肓,0,通訊系,資電學院,丁,教授
T0800,范縮隕,0,電機系,資電學院,甲,副教授
T0548,周碑鯖,0,纖複系,工程與科學學院,丁,教授
T0519,鄧槃丈,0,電機系,資電學院,丙,副教授
T0318,丁颼瘟,0,行銷系,商學院,乙,副教授
T0762,唐餮字,0,通訊系,資電學院,乙,助理教授
T0126,唐雉錐,0,企管系,商學院,丁,職員
T0584,連歌呆,0,應數系,工程與科學學院,丁,教授
T0806,李涔杼,0,應數系,工程與科學學院,丙,副教授
T0876,錢屐舞,0,行銷系,商學院,丁,教授
T0798,古裨卡,0,材料系,工程與科學學院,丙,職員
T0248,汪擻毒,0,商學學士學位學程,商學院,乙,副教授
T0478,賴泅淺,0,財稅系,商學院,甲,副教授
T0112,黎許仟,0,水利系,建設學院,丙,副教授
T0871,彭灶杳,0,商學學士學位學程,商學院,乙,副教授
T0568,連冰肓,0,經濟系,商學院,甲,助理教授
T0212,郭峰琉,0,資電系,資電學院,丁,教授
T0417,湯乏悉,0,會計系,商學院,丙,副教授
T0569,周嵇壢,0,土管系,建設學院,甲,職員
T0495,韓大召,0,合經系,商學院,丁,職員
T0350,唐瀰餡,0,水利系,建設學院,乙,助理教授
T0350,韓甸劫,0,會計系,商學院,丁,助理教授
T0380,孫班衷,0,統計系,商學院,丙,助理教授
T0678,蔣俊駒,0,資電系,資電學院,甲,副教授
T0725,姜宴饅,0,合經系,商學院,丁,職員
T0366,董琅宜,0,水利系,建設學院,丁,教授
T0372,詹寺擻,0,精密學程,工程與科學學院,丙,助理教授
T0842,何亟鄒,0,行銷系,商學院,丙,教授
T0235,尤宰湎,0,土管系,建設學院,丙,教授
T0285,連巢縵,0,航太系,工程與科學學院,丁,教授
T0589,姚慮蒿,0,機電系,工程與科學學院,乙,副教授
T0391,蔣漂燐,0,企管系,商學院,丙,副教授
T0214,薛醉攏,0,精密學程,工程與科學學院,丙,職員
T0087,陸只婢,0,合經系,商學院,丙,職員
T0594,蕭鑪榫,0,電子系,資電學院,乙,助理教授
T0782,李酌又,0,工工系,工程與科學學院,甲,教授
T0195,郭韆丕,0,電機系,資電學院,丁,助理教授
T0191,溫臉叮,0,環工系,工程與科學學院,丙,教授
T0270,范姜嚨胤,0,行銷系,商學院,丁,副教授
T0835,白臨敲,0,航太系,工程與科學學院,乙,副教授
T0870,楊矯伶,0,環工系,工程與科學學院,甲,副教授
T0333,姚低鉤,0,資電系,資電學院,甲,副教授
T0487,何悴久,0,商學學士學位學程,商學院,丁,職員
T0032,孫苔逃,0,纖複系,工程與科學學院,乙,職員
T0401,杜猓匕,0,都資系,建設學院,乙,助理教授
T0320,孫枓久,0,土木系,建設學院,甲,副教授
T0475,古頡虐,0,電機系,資電學院,甲,職員
T0455,李俑新,0,機電系,工程與科學學院,丙,職員
T0168,洪鐸咒,0,土木系,建設學院,乙,職員
T0843,錢貨泱,0,運輸物流系,建設學院,丙,副教授
T0779,彭篩矚,0,統計系,商學院,丁,助理教授
